condition,from_slug,to_slug,variant,canonical_hit,tuned_hit,m_tuned,m_phase,m_total_steps,hit_has_artifact,hit_completion
auto_top200_dallas,california_oakland,texas_dallas,add_state_city,0,1,6.931448,1.0,5.0,0,"<bos><bos>Fact: The capital of the state containing Oakland is and San Antonio is Austin.

Fact: The capital"
auto_top200_dallas,florida_miami,texas_dallas,add_city,0,1,4.080572,2.0,7.0,0,"<bos><bos>Fact: The capital of the state containing Miami is not Dallas.

Fact: The city of Austin,"
auto_top200_dallas,florida_miami,texas_dallas,add_state,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Miami is Austin.

Fact: The state of Texas is the"
auto_top200_dallas,florida_miami,texas_dallas,add_state_capital,0,1,6.931448,1.0,5.0,0,"<bos><bos>Fact: The capital of the state containing Miami is College Station.

Fact: The city of Austin has"
auto_top200_dallas,florida_miami,texas_dallas,add_state_city,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Miami is not Dallas.

Fact: The city of Austin,"
auto_top200_dallas,illinois_chicago,texas_dallas,add_state,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Chicago is Austin.

Fact: The state of Texas is the"
auto_top200_dallas,illinois_chicago,texas_dallas,add_state_capital_city,0,1,4.080572,2.0,7.0,0,"<bos><bos>Fact: The capital of the state containing Chicago is, Dallas, Houston and San Antonio is Austin."
auto_top200_dallas,new_york_new_york_city,texas_dallas,add_state_capital_city,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing New York City is <strong>Austin, Texas</strong>.

The correct answer"
auto_top200_dallas,washington_seattle,texas_dallas,add_state_capital,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Seattle is Austin.

Fact: The state of Washington is located"
auto_top21_dallas,california_oakland,texas_dallas,add_state,0,1,0.832553,1.0,3.0,0,"<bos><bos>Fact: The capital of the state containing Oakland is San Antonio.

Fact: The city of Austin has"
auto_top21_dallas,california_oakland,texas_dallas,add_state_city,0,1,0.832553,1.0,3.0,0,"<bos><bos>Fact: The capital of the state containing Oakland is San Antonio.

Fact: The city of Austin has"
auto_top21_dallas,florida_miami,texas_dallas,add_state,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Miami is Austin.

Fact: The state of Texas is the"
auto_top21_dallas,florida_miami,texas_dallas,add_state_city,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Miami is not Miami.

Fact: The city of Austin,"
auto_top21_dallas,illinois_chicago,texas_dallas,add_state,0,1,4.080572,2.0,7.0,0,"<bos><bos>Fact: The capital of the state containing Chicago is <strong>Austin</strong>.

The city of Austin,"
auto_top21_dallas,illinois_chicago,texas_dallas,add_state_capital,0,1,6.931448,1.0,5.0,0,"<bos><bos>Fact: The capital of the state containing Chicago is is Austin.

Fact: The city of Austin has"
auto_top21_dallas,illinois_chicago,texas_dallas,add_state_capital_city,0,1,6.931448,1.0,5.0,0,"<bos><bos>Fact: The capital of the state containing Chicago is is Austin.

Fact: The city of Austin has"
auto_top21_dallas,new_york_new_york_city,texas_dallas,add_state,0,1,15.34541,2.0,8.0,0,"<bos><bos>Fact: The capital of the state containing New York City is San Antonio.

Fact: The city of Austin has"
auto_top21_dallas,washington_seattle,texas_dallas,add_state_capital_city,0,1,6.931448,1.0,5.0,0,"<bos><bos>Fact: The capital of the state containing Seattle is is Austin.

Fact: The city of Austin has"
auto_top21_dallas,washington_seattle,texas_dallas,add_state_city,0,1,5.318296,2.0,8.0,0,"<bos><bos>Fact: The capital of the state containing Seattle is the city of Austin.

Fact: The capital of"
human_dallas,california_oakland,texas_dallas,add_state,1,0,,,,0,"<bos><bos>Fact: The capital of the state containing Oakland is Texas is Austin.

Fact: The capital of the"
human_dallas,california_oakland,texas_dallas,add_state_city,1,0,,,,0,"<bos><bos>Fact: The capital of the state containing Oakland is Texas is Austin.

Fact: The capital of the"
human_dallas,florida_miami,texas_dallas,add_state,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Miami is not Dallas.

Fact: The city of Austin,"
human_dallas,florida_miami,texas_dallas,add_state_city,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Miami is not Dallas.

Fact: The city of Austin,"
human_dallas,illinois_chicago,texas_dallas,add_state_city,1,0,,,,0,"<bos><bos>Fact: The capital of the state containing Chicago is Texas is Austin.

Fact: The capital of the"
