swap_id,from_slug,from_state,from_capital,to_slug,to_state,to_capital,tier,tier_name,cities_found,notes,steered_output
california_oakland__to__nevada_las_vegas,california_oakland,California,Sacramento,nevada_las_vegas,Nevada,Carson City,4,TARGET_STATE_CITY,Las Vegas,"The output mentions Las Vegas, which is a city in Nevada, but does not mention the capital Carson City.","<bos><bos>The capital of the state containing Oakland isщs largest city, Las Vegas is a great place"
california_oakland__to__ohio_cleveland,california_oakland,California,Sacramento,ohio_cleveland,Ohio,Columbus,1,SOURCE_PERSISTS,Oakland,"The output mentions Oakland, which is a city in California, indicating that source information persists.","<bos><bos>The capital of the state containing Oakland is’s largest city, Columbus was founded in 1"
california_oakland__to__oregon_portland,california_oakland,California,Sacramento,oregon_portland,Oregon,Salem,1,SOURCE_PERSISTS,"Oakland, San Francisco","The output mentions cities from California (Oakland and San Francisco), indicating that the source state information persists.","<bos><bos>The capital of the state containing Oakland is’s largest city, San Francisco, is one of"
california_oakland__to__texas_dallas,california_oakland,California,Sacramento,texas_dallas,Texas,Austin,4,TARGET_STATE_CITY,Beaumont,"The output mentions Beaumont, which is a city in Texas, but does not mention the target capital, Austin.","<bos><bos>The capital of the state containing Oakland is County, Texas, is Beaumont. The city is located"
colorado_colorado_springs__to__arizona_tucson,colorado_colorado_springs,Colorado,Denver,arizona_tucson,Arizona,Phoenix,1,SOURCE_PERSISTS,"Colorado Springs, Pikes Peak, Denver","The output contains references to Colorado cities and landmarks, indicating that the source state information persists.","<bos><bos>The capital of the state containing Colorado Springs is’s Pikes Peak, Denver is a great place"
colorado_colorado_springs__to__california_oakland,colorado_colorado_springs,Colorado,Denver,california_oakland,California,Sacramento,5,PERFECT,Sacramento,The output correctly identifies Sacramento as the capital of California.,"<bos><bos>The capital of the state containing Colorado Springs is’s population is Sacramento.

Sacramento is the capital"
colorado_colorado_springs__to__florida_miami,colorado_colorado_springs,Colorado,Denver,florida_miami,Florida,Tallahassee,0,WRONG_STATE,Keyser,"The output mentions Keyser, which is a city in West Virginia, a state that is neither the source (Colorado) nor the target (Florida). No relevant information about Florida or its capital is present.","<bos><bos>The capital of the state containing Colorado Springs is Keyser, West Virginia, is a city in the"
colorado_colorado_springs__to__georgia_savannah,colorado_colorado_springs,Colorado,Denver,georgia_savannah,Georgia,Atlanta,1,SOURCE_PERSISTS,"Colorado Springs, Pikes Peak, Denver","The output contains references to Colorado cities and landmarks, indicating that the source state information persists.","<bos><bos>The capital of the state containing Colorado Springs is's Pikes Peak, Denver is a great place"
colorado_colorado_springs__to__michigan_detroit,colorado_colorado_springs,Colorado,Denver,michigan_detroit,Michigan,Lansing,4,TARGET_STATE_CITY,Lansing,"The output mentions Lansing, which is a city in Michigan, but it incorrectly refers to it as the capital of the state containing Colorado Springs.","<bos><bos>The capital of the state containing Colorado Springs is’s largest city, Lansing is a great place to"
colorado_colorado_springs__to__nevada_las_vegas,colorado_colorado_springs,Colorado,Denver,nevada_las_vegas,Nevada,Carson City,1,SOURCE_PERSISTS,"Denver, Colorado Springs","The output still contains references to cities in Colorado, specifically Denver and Colorado Springs, indicating that the source state information persists.","<bos><bos>The capital of the state containing Colorado Springs isщs largest city, Denver, is the largest city"
colorado_colorado_springs__to__ohio_cleveland,colorado_colorado_springs,Colorado,Denver,ohio_cleveland,Ohio,Columbus,1,SOURCE_PERSISTS,"Colorado Springs, Pikes Peak International Raceway","The output mentions Colorado Springs, which is a city in Colorado, indicating that the source state information persists.",<bos><bos>The capital of the state containing Colorado Springs is’s Pikes Peak International Raceway is Colorado Springs.
colorado_colorado_springs__to__oregon_portland,colorado_colorado_springs,Colorado,Denver,oregon_portland,Oregon,Salem,1,SOURCE_PERSISTS,"Colorado Springs, Pikes Peak International Raceway","The output mentions Colorado Springs, which is a city in Colorado, indicating that the source state information persists.",<bos><bos>The capital of the state containing Colorado Springs is’s Pikes Peak International Raceway is Colorado Springs.
colorado_colorado_springs__to__texas_dallas,colorado_colorado_springs,Colorado,Denver,texas_dallas,Texas,Austin,1,SOURCE_PERSISTS,"Colorado Springs, County, Colorado","The output still contains references to Colorado and its city Colorado Springs, indicating that the source state information persists.","<bos><bos>The capital of the state containing Colorado Springs is County, Colorado is the city of Austin. Austin has"
florida_miami__to__arizona_tucson,florida_miami,Florida,Tallahassee,arizona_tucson,Arizona,Phoenix,1,SOURCE_PERSISTS,Miami,"The output mentions Miami, which is a city in Florida, indicating that the source information persists.","<bos><bos>The capital of the state containing Miami is’s largest city, Phoenix is a great place to"
florida_miami__to__california_oakland,florida_miami,Florida,Tallahassee,california_oakland,California,Sacramento,1,SOURCE_PERSISTS,Miami,"The output mentions Miami, which is a city in Florida, indicating that the source state information is still present.","<bos><bos>The capital of the state containing Miami is’s largest city, Sacramento is a great place to"
florida_miami__to__colorado_colorado_springs,florida_miami,Florida,Tallahassee,colorado_colorado_springs,Colorado,Denver,1,SOURCE_PERSISTS,Miami,"The output mentions Miami, a city in Florida, indicating that source information persists.","<bos><bos>The capital of the state containing Miami is Springs is Denver.

The state of Colorado is located"
florida_miami__to__georgia_savannah,florida_miami,Florida,Tallahassee,georgia_savannah,Georgia,Atlanta,1,SOURCE_PERSISTS,"Miami, Everglades National Park, Fort Lauderdale","The output contains references to Florida cities and landmarks, indicating that the source state information persists.","<bos><bos>The capital of the state containing Miami is's Everglades National Park, Fort Lauderdale is a city"
florida_miami__to__michigan_detroit,florida_miami,Florida,Tallahassee,michigan_detroit,Michigan,Lansing,1,SOURCE_PERSISTS,Miami,"The output mentions Miami, a city in Florida, indicating that source information persists.","<bos><bos>The capital of the state containing Miami is’s largest city, Lansing is a great place to"
florida_miami__to__nevada_las_vegas,florida_miami,Florida,Tallahassee,nevada_las_vegas,Nevada,Carson City,4,TARGET_STATE_CITY,"Las Vegas, Reno","The output mentions two cities in Nevada (Las Vegas and Reno), but does not include the target capital, Carson City.","<bos><bos>The capital of the state containing Miami isщs largest city, Las Vegas, is Reno."
florida_miami__to__ohio_cleveland,florida_miami,Florida,Tallahassee,ohio_cleveland,Ohio,Columbus,1,SOURCE_PERSISTS,Miami,"The output mentions Miami, which is a city in Florida, indicating that source information persists.","<bos><bos>The capital of the state containing Miami is’s largest city, Columbus was founded in 1"
florida_miami__to__oregon_portland,florida_miami,Florida,Tallahassee,oregon_portland,Oregon,Salem,1,SOURCE_PERSISTS,"Miami, Tallahassee","The output mentions Miami and Tallahassee, which are both cities in Florida, indicating that the source information persists.","<bos><bos>The capital of the state containing Miami is’s largest city, Tallahassee is a great place to"
florida_miami__to__texas_dallas,florida_miami,Florida,Tallahassee,texas_dallas,Texas,Austin,2,SUPPRESSED_ONLY,,"The output does not contain any coherent geographic content and is garbled, indicating that the source information has been suppressed.","<bos><bos>The capital of the state containing Miami is County, Texas, is San Antonio.

The city"
georgia_savannah__to__arizona_tucson,georgia_savannah,Georgia,Atlanta,arizona_tucson,Arizona,Phoenix,1,SOURCE_PERSISTS,Savannah,"The output mentions Savannah, which is a city in Georgia, indicating that the source information persists.","<bos><bos>The capital of the state containing Savannah is’s largest city, Phoenix is a great place to"
georgia_savannah__to__california_oakland,georgia_savannah,Georgia,Atlanta,california_oakland,California,Sacramento,1,SOURCE_PERSISTS,Savannah,"The output mentions Savannah, which is a city in Georgia, indicating that the source information persists.","<bos><bos>The capital of the state containing Savannah is’s largest city, Sacramento is a great place to"
georgia_savannah__to__colorado_colorado_springs,georgia_savannah,Georgia,Atlanta,colorado_colorado_springs,Colorado,Denver,1,SOURCE_PERSISTS,"Atlanta, Savannah","The output mentions cities from Georgia (Atlanta and Savannah), indicating that the source state information persists.","<bos><bos>The capital of the state containing Savannah is Springs, the city of Atlanta was founded in 1"
georgia_savannah__to__florida_miami,georgia_savannah,Georgia,Atlanta,florida_miami,Florida,Tallahassee,1,SOURCE_PERSISTS,"Savannah, Georgia","The output mentions Savannah and Georgia, which are both associated with the source state.","<bos><bos>The capital of the state containing Savannah is Keyser, the capital of the state of Georgia,"
georgia_savannah__to__michigan_detroit,georgia_savannah,Georgia,Atlanta,michigan_detroit,Michigan,Lansing,1,SOURCE_PERSISTS,Savannah,"The output mentions Savannah, which is a city in Georgia, indicating that source information is still present.","<bos><bos>The capital of the state containing Savannah is’s largest city, Lansing is a great place to"
georgia_savannah__to__nevada_las_vegas,georgia_savannah,Georgia,Atlanta,nevada_las_vegas,Nevada,Carson City,4,TARGET_STATE_CITY,"Las Vegas, Reno","The output mentions cities in Nevada (Las Vegas and Reno) but does not include the target capital, Carson City.","<bos><bos>The capital of the state containing Savannah isщs largest city, Las Vegas, is Reno."
georgia_savannah__to__ohio_cleveland,georgia_savannah,Georgia,Atlanta,ohio_cleveland,Ohio,Columbus,1,SOURCE_PERSISTS,Savannah,"The output mentions Savannah, which is a city in Georgia, indicating that source information persists.","<bos><bos>The capital of the state containing Savannah is’s largest city, Columbus was founded in 1"
georgia_savannah__to__oregon_portland,georgia_savannah,Georgia,Atlanta,oregon_portland,Oregon,Salem,1,SOURCE_PERSISTS,"Savannah, Augusta","The output mentions cities from Georgia (Savannah and Augusta), indicating that the source state information is still present.","<bos><bos>The capital of the state containing Savannah is’s largest city, Augusta is a great place to"
georgia_savannah__to__texas_dallas,georgia_savannah,Georgia,Atlanta,texas_dallas,Texas,Austin,4,TARGET_STATE_CITY,San Antonio,"The output mentions San Antonio, which is a city in Texas, but does not mention the target capital, Austin.","<bos><bos>The capital of the state containing Savannah is County, Texas, is San Antonio.

The city"
michigan_detroit__to__arizona_tucson,michigan_detroit,Michigan,Lansing,arizona_tucson,Arizona,Phoenix,1,SOURCE_PERSISTS,Detroit,"The output mentions Detroit, which is a city in Michigan, indicating that source information persists.","<bos><bos>The capital of the state containing Detroit is’s largest city, Phoenix is a great place to"
michigan_detroit__to__california_oakland,michigan_detroit,Michigan,Lansing,california_oakland,California,Sacramento,5,PERFECT,Sacramento,The output correctly identifies Sacramento as the capital of California.,"<bos><bos>The capital of the state containing Detroit is’s population is <strong>Sacramento</strong>.

The"
michigan_detroit__to__colorado_colorado_springs,michigan_detroit,Michigan,Lansing,colorado_colorado_springs,Colorado,Denver,1,SOURCE_PERSISTS,"Detroit, Lansing","The output mentions cities from Michigan (Detroit and Lansing), indicating that the source state information persists.","<bos><bos>The capital of the state containing Detroit is Springs, Michigan, is Lansing.

The capital of"
michigan_detroit__to__florida_miami,michigan_detroit,Michigan,Lansing,florida_miami,Florida,Tallahassee,0,WRONG_STATE,Keyser,"The output mentions Keyser, which is a city in West Virginia, a third state unrelated to the source or target.","<bos><bos>The capital of the state containing Detroit is Keyser, West Virginia, is a city that has"
michigan_detroit__to__georgia_savannah,michigan_detroit,Michigan,Lansing,georgia_savannah,Georgia,Atlanta,1,SOURCE_PERSISTS,"Detroit, Lansing","The output mentions cities from Michigan (Detroit and Lansing), indicating that the source information persists.","<bos><bos>The capital of the state containing Detroit is's largest city, Lansing is a great place to"
michigan_detroit__to__nevada_las_vegas,michigan_detroit,Michigan,Lansing,nevada_las_vegas,Nevada,Carson City,4,TARGET_STATE_CITY,Las Vegas,"The output mentions Las Vegas, a city in Nevada, but does not mention the capital Carson City.","<bos><bos>The capital of the state containing Detroit isщs largest city, Las Vegas, and the state"
michigan_detroit__to__ohio_cleveland,michigan_detroit,Michigan,Lansing,ohio_cleveland,Ohio,Columbus,4,TARGET_STATE_CITY,Toledo,"The output mentions Toledo, which is a city in Ohio, but does not mention the target capital, Columbus.","<bos><bos>The capital of the state containing Detroit is’s largest city, Toledo is a great place to"
michigan_detroit__to__oregon_portland,michigan_detroit,Michigan,Lansing,oregon_portland,Oregon,Salem,2,SUPPRESSED_ONLY,,"The output does not mention Oregon or any specific city/place from there, and the content is garbled.","<bos><bos>The capital of the state containing Detroit is’s population is 150,00"
michigan_detroit__to__texas_dallas,michigan_detroit,Michigan,Lansing,texas_dallas,Texas,Austin,1,SOURCE_PERSISTS,Detroit,"The output mentions Detroit, which is a city in Michigan, indicating that source information persists.","<bos><bos>The capital of the state containing Detroit is County, Texas, United States. The city is located"
nevada_las_vegas__to__arizona_tucson,nevada_las_vegas,Nevada,Carson City,arizona_tucson,Arizona,Phoenix,1,SOURCE_PERSISTS,Las Vegas,"The output mentions Las Vegas, which is a city in Nevada, indicating that the source state information persists.","<bos><bos>The capital of the state containing Las Vegas is’s population is 150,00"
nevada_las_vegas__to__california_oakland,nevada_las_vegas,Nevada,Carson City,california_oakland,California,Sacramento,1,SOURCE_PERSISTS,Las Vegas,"The output mentions Las Vegas, which is a city in Nevada, indicating that the source information persists.","<bos><bos>The capital of the state containing Las Vegas is’s population is 1,200,"
nevada_las_vegas__to__colorado_colorado_springs,nevada_las_vegas,Nevada,Carson City,colorado_colorado_springs,Colorado,Denver,1,SOURCE_PERSISTS,Las Vegas,"The output mentions Las Vegas, which is a city in Nevada, indicating that information from the source state persists.","<bos><bos>The capital of the state containing Las Vegas is Springs is Denver.

The state of Colorado is located"
nevada_las_vegas__to__florida_miami,nevada_las_vegas,Nevada,Carson City,florida_miami,Florida,Tallahassee,4,TARGET_STATE_CITY,"Keys, Key West, Fort Lauderdale","The output mentions cities in Florida but does not include the target capital, Tallahassee.","<bos><bos>The capital of the state containing Las Vegas is Keys, Key West, and Fort Lauderdale.

The"
nevada_las_vegas__to__georgia_savannah,nevada_las_vegas,Nevada,Carson City,georgia_savannah,Georgia,Atlanta,1,SOURCE_PERSISTS,"Las Vegas, Nevada","The output mentions Las Vegas and Nevada, which are associated with the source state.","<bos><bos>The capital of the state containing Las Vegas is's largest city, Nevada is a great place to"
nevada_las_vegas__to__michigan_detroit,nevada_las_vegas,Nevada,Carson City,michigan_detroit,Michigan,Lansing,1,SOURCE_PERSISTS,"Las Vegas, Detroit","The output mentions Las Vegas, which is a city in Nevada, indicating that source information persists.","<bos><bos>The capital of the state containing Las Vegas is’s largest city, Detroit was once a major industrial"
nevada_las_vegas__to__ohio_cleveland,nevada_las_vegas,Nevada,Carson City,ohio_cleveland,Ohio,Columbus,1,SOURCE_PERSISTS,Las Vegas,"The output mentions Las Vegas, which is a city in Nevada, indicating that the source information is still present.",<bos><bos>The capital of the state containing Las Vegas is’s population is 1.3 million. It
nevada_las_vegas__to__oregon_portland,nevada_las_vegas,Nevada,Carson City,oregon_portland,Oregon,Salem,1,SOURCE_PERSISTS,Las Vegas,"The output mentions Las Vegas, which is a city in Nevada, indicating that the source information is still present.",<bos><bos>The capital of the state containing Las Vegas is’s population is 1.3 million. It
nevada_las_vegas__to__texas_dallas,nevada_las_vegas,Nevada,Carson City,texas_dallas,Texas,Austin,1,SOURCE_PERSISTS,"Las Vegas, County","The output mentions Las Vegas, which is a city in Nevada, indicating that source information persists.","<bos><bos>The capital of the state containing Las Vegas is County, Texas, is a city that has been around"
new_york_new_york_city__to__texas_dallas,new_york_new_york_city,New York,Albany,texas_dallas,Texas,Austin,1,SOURCE_PERSISTS,"New York City, County, New York","The output contains references to New York City and a county in New York, indicating that information from the source state persists.","<bos><bos>The capital of the state containing New York City is County, New York, USA.

The capital of"
ohio_cleveland__to__arizona_tucson,ohio_cleveland,Ohio,Columbus,arizona_tucson,Arizona,Phoenix,1,SOURCE_PERSISTS,Cleveland,"The output mentions Cleveland, which is a city in Ohio, indicating that the source information persists.","<bos><bos>The capital of the state containing Cleveland is’s largest city, Phoenix is a great place to"
ohio_cleveland__to__california_oakland,ohio_cleveland,Ohio,Columbus,california_oakland,California,Sacramento,1,SOURCE_PERSISTS,Cleveland,"The output mentions Cleveland, which is a city in Ohio, indicating that the source information persists.","<bos><bos>The capital of the state containing Cleveland is’s largest city, Sacramento is a great place to"
ohio_cleveland__to__colorado_colorado_springs,ohio_cleveland,Ohio,Columbus,colorado_colorado_springs,Colorado,Denver,5,PERFECT,Denver,The output correctly identifies Denver as the capital of Colorado.,"<bos><bos>The capital of the state containing Cleveland is Springs is Denver.

Denver is the capital of Colorado"
ohio_cleveland__to__florida_miami,ohio_cleveland,Ohio,Columbus,florida_miami,Florida,Tallahassee,0,WRONG_STATE,"Cleveland, Keyser","The output mentions Cleveland, which is a city in Ohio, and Keyser, which is in West Virginia, thus referencing a third state.","<bos><bos>The capital of the state containing Cleveland is Keyser, West Virginia, is a city that has"
ohio_cleveland__to__georgia_savannah,ohio_cleveland,Ohio,Columbus,georgia_savannah,Georgia,Atlanta,1,SOURCE_PERSISTS,"Cleveland, Columbus","The output mentions cities from Ohio (Cleveland and Columbus), indicating that the source state information persists.","<bos><bos>The capital of the state containing Cleveland is's largest city, Columbus is a great place to"
ohio_cleveland__to__michigan_detroit,ohio_cleveland,Ohio,Columbus,michigan_detroit,Michigan,Lansing,4,TARGET_STATE_CITY,Detroit,"The output mentions Detroit, a city in Michigan, but does not mention the target capital, Lansing.","<bos><bos>The capital of the state containing Cleveland is’s largest city, Detroit, is a great place"
ohio_cleveland__to__nevada_las_vegas,ohio_cleveland,Ohio,Columbus,nevada_las_vegas,Nevada,Carson City,4,TARGET_STATE_CITY,"Las Vegas, Reno","The output mentions cities in Nevada (Las Vegas and Reno) but does not include the target capital, Carson City.","<bos><bos>The capital of the state containing Cleveland isщs largest city, Las Vegas, is Reno."
ohio_cleveland__to__oregon_portland,ohio_cleveland,Ohio,Columbus,oregon_portland,Oregon,Salem,1,SOURCE_PERSISTS,"Cleveland, Columbus","The output mentions cities from Ohio (Cleveland and Columbus), indicating that the source state information persists.","<bos><bos>The capital of the state containing Cleveland is’s largest city, Columbus is a great place to"
ohio_cleveland__to__texas_dallas,ohio_cleveland,Ohio,Columbus,texas_dallas,Texas,Austin,4,TARGET_STATE_CITY,Tyler,"The output mentions Tyler, which is a city in Texas, but does not mention the target capital, Austin.","<bos><bos>The capital of the state containing Cleveland is County, Texas, is Tyler. The city is located"
oregon_portland__to__arizona_tucson,oregon_portland,Oregon,Salem,arizona_tucson,Arizona,Phoenix,5,PERFECT,Phoenix,"The output correctly mentions the target capital, Phoenix.","<bos><bos>The capital of the state containing Portland is’s largest city, Phoenix is a great place to"
oregon_portland__to__california_oakland,oregon_portland,Oregon,Salem,california_oakland,California,Sacramento,4,TARGET_STATE_CITY,Sacramento,"The output mentions Sacramento, which is the capital of California, but it also references Portland, a city in Oregon.","<bos><bos>The capital of the state containing Portland is’s largest city, Sacramento is a great place to"
oregon_portland__to__colorado_colorado_springs,oregon_portland,Oregon,Salem,colorado_colorado_springs,Colorado,Denver,1,SOURCE_PERSISTS,"Portland, Salem","The output still contains references to Oregon cities (Portland and Salem), indicating that the source state information persists.","<bos><bos>The capital of the state containing Portland is Springs, Oregon, is Salem.

The capital of"
oregon_portland__to__florida_miami,oregon_portland,Oregon,Salem,florida_miami,Florida,Tallahassee,0,WRONG_STATE,"Keyser, West Virginia","The output mentions Keyser, which is a city in West Virginia, a state that is neither the source (Oregon) nor the target (Florida). No relevant information about Oregon or Florida is present.","<bos><bos>The capital of the state containing Portland is Keyser, West Virginia, is a city that has"
oregon_portland__to__georgia_savannah,oregon_portland,Oregon,Salem,georgia_savannah,Georgia,Atlanta,1,SOURCE_PERSISTS,Portland,"The output mentions Portland, which is a city in Oregon, indicating that the source information persists.","<bos><bos>The capital of the state containing Portland is's largest city, Portland, Maine is the second"
oregon_portland__to__michigan_detroit,oregon_portland,Oregon,Salem,michigan_detroit,Michigan,Lansing,4,TARGET_STATE_CITY,Lansing,"The output mentions Lansing, which is the capital of Michigan, but it also includes a reference to Portland, a city in Oregon.","<bos><bos>The capital of the state containing Portland is’s largest city, Lansing is a great place to"
oregon_portland__to__nevada_las_vegas,oregon_portland,Oregon,Salem,nevada_las_vegas,Nevada,Carson City,4,TARGET_STATE_CITY,"Las Vegas, Reno","The output mentions cities in Nevada (Las Vegas and Reno) but does not include the target capital, Carson City.","<bos><bos>The capital of the state containing Portland isщs largest city, Las Vegas, is Reno."
oregon_portland__to__ohio_cleveland,oregon_portland,Oregon,Salem,ohio_cleveland,Ohio,Columbus,1,SOURCE_PERSISTS,Portland,"The output mentions Portland, which is a city in Oregon, indicating that the source information persists.","<bos><bos>The capital of the state containing Portland is’s largest city, Columbus was founded in 1"
oregon_portland__to__texas_dallas,oregon_portland,Oregon,Salem,texas_dallas,Texas,Austin,4,TARGET_STATE_CITY,County,"The output mentions 'County' which is a generic term and does not refer to a specific city, but it indicates an attempt to reference a location in Texas.","<bos><bos>The capital of the state containing Portland is County, Texas, is a city that has been around"
texas_dallas__to__arizona_tucson,texas_dallas,Texas,Austin,arizona_tucson,Arizona,Phoenix,5,PERFECT,Phoenix,"The output correctly mentions the target capital, Phoenix.","<bos><bos>The capital of the state containing Dallas is’s largest city, Phoenix is a great place to"
texas_dallas__to__california_oakland,texas_dallas,Texas,Austin,california_oakland,California,Sacramento,1,SOURCE_PERSISTS,Dallas,"The output mentions 'Dallas', which is a city in Texas, indicating that the source information is still present.","<bos><bos>The capital of the state containing Dallas is’s largest city, Sacramento is a great place to"
texas_dallas__to__colorado_colorado_springs,texas_dallas,Texas,Austin,colorado_colorado_springs,Colorado,Denver,5,PERFECT,Denver,The output correctly identifies Denver as the capital of Colorado.,"<bos><bos>The capital of the state containing Dallas is Springs is Denver.

Denver is the capital of Colorado"
texas_dallas__to__florida_miami,texas_dallas,Texas,Austin,florida_miami,Florida,Tallahassee,0,WRONG_STATE,"Dallas, Keyser","The output mentions Dallas, which is a city in Texas, and Keyser, which is in West Virginia, neither of which are related to Florida.","<bos><bos>The capital of the state containing Dallas is Keyser, West Virginia, is a city that has"
texas_dallas__to__georgia_savannah,texas_dallas,Texas,Austin,georgia_savannah,Georgia,Atlanta,1,SOURCE_PERSISTS,"Austin, Dallas","The output mentions Austin and Dallas, which are cities in Texas, indicating that the source information persists.","<bos><bos>The capital of the state containing Dallas is's largest city, Austin is a great place to"
texas_dallas__to__michigan_detroit,texas_dallas,Texas,Austin,michigan_detroit,Michigan,Lansing,4,TARGET_STATE_CITY,Lansing,"The output mentions Lansing, which is the capital of Michigan, but it also includes a reference to Dallas, a city in Texas.","<bos><bos>The capital of the state containing Dallas is’s largest city, Lansing is a great place to"
texas_dallas__to__nevada_las_vegas,texas_dallas,Texas,Austin,nevada_las_vegas,Nevada,Carson City,4,TARGET_STATE_CITY,"Las Vegas, Reno","The output mentions two cities in Nevada (Las Vegas and Reno), but does not include the target capital, Carson City.","<bos><bos>The capital of the state containing Dallas isщs largest city, Las Vegas, is Reno."
texas_dallas__to__new_york_new_york_city,texas_dallas,Texas,Austin,new_york_new_york_city,New York,Albany,2,SUPPRESSED_ONLY,,The output is garbled and does not contain any coherent geographic content or references to either Texas or New York.,"<bos><bos>The capital of the state containing Dallas isValueStyle.

The capital of the state containing Dallas."
texas_dallas__to__ohio_cleveland,texas_dallas,Texas,Austin,ohio_cleveland,Ohio,Columbus,1,SOURCE_PERSISTS,Dallas,"The output mentions Dallas, which is a city in Texas, indicating that the source information is still present.","<bos><bos>The capital of the state containing Dallas is’s largest city, Columbus was founded in 1"
texas_dallas__to__oregon_portland,texas_dallas,Texas,Austin,oregon_portland,Oregon,Salem,1,SOURCE_PERSISTS,"Dallas, Austin","The output mentions Dallas and Austin, which are both cities in Texas, indicating that the source information persists.","<bos><bos>The capital of the state containing Dallas is’s largest city, Austin is a great place to"
